iteration,fitness,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,103.26158813957272,0.57335,1.1285152313600002,0.3918568419999999,2.6511760000000004,2.1151180000000003,0.252944,0.999,0.6597207921599999,0.18240353762399997
2,159.47505572304487,0.4968997833782719,1.338648053169152,0.29386897598964395,2.8832332671999996,2.400419479370639,0.20228865799490717,0.8793501695999999,0.999,0.13809957373226014
3,53.54936404372256,0.6928807076,0.9221749045462098,0.16652114034396812,3.5241664888293407,1.8488064689981658,0.1328194082238167,0.999,0.917383444846275,0.1690349877387536
4,156.8288990992762,0.5218624254547766,1.8652315938195556,0.26056977586478897,2.704069331251697,1.4113597006633698,0.2795325433385542,0.999,0.999,0.22888489399527892
5,196.29556202664935,0.3725053992896195,1.3578139910368836,0.23492970991969372,2.704069331251697,1.3072860363364527,0.25720907442753727,0.999,0.999,0.1758614194523326
6,102.96300714817221,0.7680415211824687,1.341617591852479,0.16747470420447863,5.871109819953329,1.5123441389560435,0.16678063509724514,0.9851529680927996,0.7844147999999999,0.0893750907224356
7,77.39121616311706,0.9171686278302449,1.5187733335333433,0.1533312204277804,2.6860243717399657,3.61926826426529,0.23329561804668184,0.999,0.999,0.22703084441608604
8,59.428444858005264,0.9900351123577946,1.699537482427005,0.2908729354631697,4.056231014419858,2.036022046768135,0.26914540054345976,0.999,0.999,0.07587472365323703
9,78.80044171170971,0.7459397672799566,1.2959035533760301,0.18234073112021695,4.932475232812162,1.389898749206459,0.2059600519655404,0.999,0.98473428,0.07809552414508532
10,172.3380080003874,0.7171976667503578,1.2040565905024523,0.21944669043409698,4.365682925459497,1.3912159806284652,0.1807896243172153,0.7388427656519999,0.7616375999999999,0.07690804484233775
11,58.343040459444865,0.5664761850405745,1.1251961046065062,0.17921851798941,2.7330146228476275,6.254144959689674,0.2763906930137092,0.999,0.8531385874199999,0.2019390218935598
12,144.07486922884823,0.9040616427410068,0.9131135202891159,0.23820370636143223,4.152116983917757,1.2247519223125782,0.3483394833896392,0.999,0.7458364061704124,0.09835882392147845
13,124.9259961750646,0.7501784726703334,1.4879295620041129,0.47303984875734806,2.741581870863195,2.7253299874168535,0.29256402063140885,0.999,0.999,0.03145805453967339
14,197.7050613700501,0.66218800126503,1.4947151049300498,0.23150394506698502,1.7256274421783429,5.896420016721439,0.39504939655177296,0.999,0.6318767953525721,0.2357184524170403
15,84.066905971202,0.7305617539759128,1.1557420968345953,0.32706897033712523,5.424275445565042,0.9896127433712643,0.4069094035807978,0.9060330599999998,0.8573897487666755,0.13791452940877497
16,157.70185932732613,0.6247044078337288,1.3653750964097289,0.221760014928076,5.453411751594988,0.8027895016903447,0.5484854906377926,0.999,0.867767967064105,0.1632188235237642
17,126.25092505288751,0.763605341470092,1.1235534877540807,0.6162527934160443,4.264440386511281,1.975130543502889,0.3219039321115116,0.5217286120318971,0.8719400859011999,0.05337350826894851
18,92.04251844889382,0.5978224249986152,0.6885475238271443,0.22739431243769936,7.497800505066138,1.3274041454313281,0.3521836301686504,0.6317674913087998,0.8933248988819998,0.4820471258809888
19,94.75383719821593,0.8298351396652313,1.9664891102158897,0.1610629698371612,5.150213954709504,1.387186899750077,0.5221669570311286,0.8016175799999999,0.5207687775058665,0.03968886105799092
20,81.23262975970624,1.184837593158143,3.2212139943010674,0.12251523017908793,8.135188620751686,0.8069671200475778,0.6724176193607072,0.999,0.999,0.07892874840417724
21,121.81731316462458,0.42947016797818727,1.282443421975674,0.13281582334600112,6.518361399516864,0.850641350846932,0.4419871532246256,0.8447144399999998,0.940055409416761,0.06064042076855307
22,82.32962838475919,0.8034588477372828,1.6391816302014315,0.1542616525218649,3.4866066165056986,1.3415113681499076,0.9103642681766718,0.88133778,0.9259930799999999,0.040769547032137324
23,154.5225358380942,0.5018808861399022,2.590830288800059,0.1225194518318425,3.8485466949902647,1.4510801102471311,0.6335209369074434,0.72609318,0.5935006480572,0.04524252719736588
24,154.49067893767244,0.569044839700926,2.9909744325845695,0.27015521063583364,8.118063309233289,1.4072669958822954,0.5106633767425468,0.999,0.999,0.6031900272995233
25,165.3325457319363,0.9094787981429351,1.7517227168411293,0.14952630356797394,4.257308787761878,0.923379111696145,0.698794505570003,0.6248502806975618,0.999,0.045227222372100064
26,131.99712219412447,0.5120624998248415,0.9999057215904187,0.26335107890341686,6.497712048018128,1.200242442315073,0.11570758098275244,0.9137090027736,0.85099797537378,0.2079378834566047
27,112.42997478721736,0.5650092739404979,1.09978923192667,0.30220903296117485,5.273593982515829,2.111032406079616,0.3912024185459226,0.9820369800000001,0.999,0.23154952101945
28,60.494393760047274,0.6606213938673372,2.1058796718157664,0.1968294783220632,5.951654653668777,2.089762248091266,0.6001726144537677,0.9123867,0.999,0.4516899258957558
29,76.20548679925287,0.7198380418237013,1.4119147784244517,0.29167603143439913,4.653401996343805,0.8874557936213578,0.35775912162365875,0.999,0.5214845412051942,0.11803154121987876
30,101.47402505363505,0.8017700077440748,1.2666451955460682,0.2012920992506081,4.521297764710776,0.8616483717003334,0.3147855697828377,0.6914167871039999,0.4183214142555057,0.4053080863377545
31,119.37785973364441,0.860362905196146,2.1488980024387225,0.16469553038147577,4.693642458744635,1.4045289622106139,0.27787674400279805,0.83284632,0.8566425,0.20853011518849268
32,100.1728168933007,0.8350140194631637,1.9654764573820471,0.19864811543850439,4.468569074825333,1.8496300599351219,0.4101192840512406,0.7750641599999999,0.9081909,0.18908233975659905
33,71.67844245322033,0.5635250453841734,2.849958793182025,0.1044289855212216,5.843630413051182,1.5972573175664997,0.27945363494824005,0.999,0.806412111671877,0.3355139382438584
34,127.4800766566783,1.1015874578408222,1.8540935402383567,0.181121851308493,5.366303133518809,1.468925052561871,0.41059932691821066,0.999,0.5945337502181187,0.2744263072409009
35,88.77500257993051,0.6658791876000887,2.3925422723684546,0.08480616238514695,3.239724434854727,1.2984641379761384,0.4833111218516911,0.7571421,0.999,0.1952920724389639
36,50.67173666208703,0.9438218481994294,2.258184482189059,0.12638478583548712,4.010751256381508,1.5800232603522737,0.5173568827742564,0.9377352217043999,0.999,0.27263099417563086
37,119.3962941584632,0.8200892295107808,1.0055497798619755,0.09365052870616808,4.382839597453458,0.7690740624078732,0.1303138636178998,0.6879338679096,0.5716398241375588,0.14524776954390228
38,109.82566736284764,0.4622367463496724,4.34274025497566,0.10965622556744058,5.893970446788676,0.9965950814643796,0.17717640712894567,0.9339651000000001,0.45879440416128764,0.07574767644841264
39,94.82083136548488,0.8212604735703163,1.859587882680858,0.1938509032030026,2.991437273051456,0.6038804663010774,0.282918940745978,0.9029346618995997,0.999,0.0674354362756007
