n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,0,0,86.41099665759259,631.4689129051854,0.6314900000000001,0.828476,0.216655,2.45278,2.218402,0.24002,0.9208440000000001,0.6565679999999999,0.1978092
3,0,1,144.271596074468,589.7215063425763,0.39263,0.925892,0.17540499999999998,2.6870800000000004,1.3367259999999999,0.23315600000000003,0.842004,0.65916,0.1630008
5,0,2,156.6519439892661,594.4388140191588,0.6251599999999999,1.148576,0.253165,2.2485760000000004,1.622638,0.217148,0.9422280000000001,0.7126199999999999,0.1569096
7,0,3,255.70325751374435,612.7422584887054,0.50369,1.038422,0.222025,2.058628,2.4474280000000004,0.188264,0.7951320000000001,0.7957259999999999,0.2142036
9,0,4,135.94339770083775,598.3992779584014,0.39178999999999997,1.3280960000000002,0.25016499999999997,2.601544,2.0401059999999998,0.22847600000000004,0.868734,0.895626,0.1668672
11,0,5,108.24374981429958,602.469887205027,0.60611,1.1130680000000002,0.23986000000000002,2.6375800000000003,1.82818,0.21695600000000004,0.8204039999999999,0.958914,0.222984
13,0,6,98.43345502232285,577.3633838937835,0.64868,0.893618,0.27793,2.75044,2.1275439999999994,0.22737200000000002,0.7544700000000001,0.6799499999999999,0.2025072
15,0,7,227.8218844533635,619.4061281404092,0.53981,0.792176,0.272575,1.651672,1.5271059999999999,0.155756,0.9462780000000001,0.960696,0.168066
17,0,8,212.06595179992837,591.6893351269551,0.63746,0.80597,0.30721,1.9844440000000003,1.949476,0.144368,0.848322,0.8325,0.1377396
19,0,9,166.41458986208954,611.3169159222603,0.5542400000000001,1.2502160000000002,0.28267000000000003,2.3040160000000003,1.7385760000000001,0.20483600000000002,0.773154,0.7787160000000001,0.1519092
21,0,10,217.55860036902288,609.5241302590797,0.6479600000000001,1.10396,0.32014,1.9845760000000001,2.212246,0.14014400000000002,0.9662040000000001,1.093644,0.2134152
23,0,11,151.77598072255296,610.9236917385883,0.5761700000000001,0.8224699999999999,0.18355,1.7292880000000002,1.373092,0.22960400000000003,0.986454,0.635238,0.1573416
25,0,12,222.1285940343165,599.9928753727415,0.44950999999999997,0.802472,0.27478,1.6397920000000001,2.162314,0.14336000000000002,0.861444,1.1398139999999999,0.16774199999999997
27,0,13,66.00493702746166,646.5124823392035,0.6406700000000001,1.3273040000000003,0.274285,2.65408,1.869106,0.236372,1.068318,1.0672380000000001,0.1883268
29,0,14,132.46199183801366,645.3217872391228,0.48443,0.81455,0.185635,2.7183640000000002,1.850638,0.234272,1.1428380000000002,0.757062,0.17552879999999998
31,0,15,140.44260134257274,630.3366395308169,0.5589500000000001,1.120196,0.245245,2.3609080000000002,2.3131359999999996,0.158336,0.785034,0.939528,0.2213532
33,0,16,189.73332367124908,606.462103437115,0.63509,0.771254,0.29905000000000004,1.9845760000000001,2.436712,0.22058,0.97236,1.070046,0.2101968
35,0,17,212.23703828262467,626.7251383173837,0.37168999999999996,0.9427880000000001,0.208675,1.915672,1.7234139999999998,0.17505199999999999,0.82197,0.7584660000000001,0.2068704
37,0,18,171.57914092159956,642.8281778666822,0.58292,1.3130480000000002,0.322615,1.8502,1.9220019999999998,0.158,1.0098360000000002,1.049256,0.12733919999999999
39,0,19,240.1599763434666,602.8895343033081,0.49742,1.2311420000000002,0.26284,2.034076,2.0699739999999998,0.166724,1.0817100000000002,1.162386,0.1469088
41,0,20,137.4373273854411,684.7862944834967,0.39296,0.938366,0.271555,2.7580960000000005,1.70335,0.20488400000000004,0.7095959999999999,0.9605340000000001,0.22166639999999999
43,0,21,126.72960293046901,607.1001748528106,0.48185,1.167914,0.193555,2.6270200000000004,1.7624019999999998,0.209816,0.869112,0.9617220000000001,0.1369188
45,0,22,98.81044375664499,622.6323445419919,0.52784,1.398914,0.30664,1.857328,1.8365019999999999,0.20915600000000004,0.879102,0.875052,0.21894479999999997
47,0,23,191.66998754106305,615.5231228953386,0.5552,0.9616640000000001,0.24727,2.2168960000000006,1.408432,0.228428,1.057518,1.165518,0.20155679999999998
49,0,24,252.43809656874248,614.6298787837821,0.44972,1.2810380000000001,0.31705,1.8281560000000001,2.29786,0.20598800000000003,1.157688,0.99315,0.1869552
51,0,25,217.71202744706363,614.7884804740606,0.5177,1.2653300000000003,0.297085,1.9299280000000003,2.445604,0.232028,1.066428,1.0912680000000001,0.2174112
53,0,26,161.80207330770907,637.1006892609249,0.35591,1.3974620000000002,0.315325,2.702128,2.053672,0.24333200000000002,0.825588,1.052712,0.2264292
55,0,27,184.75758223611547,604.8645040362223,0.57029,1.149236,0.25851999999999997,2.11288,1.948108,0.179732,0.83574,1.0406700000000002,0.1454508
57,0,28,222.71558622027624,627.9067782753297,0.51983,1.01618,0.24817,1.7122600000000001,2.39248,0.244832,1.139976,1.095804,0.21803760000000003
59,0,29,118.82929667179576,579.2244828663479,0.45395,1.212728,0.22624,2.6332240000000002,1.7014119999999997,0.17508800000000002,1.0423980000000002,0.741348,0.18673920000000002
61,0,30,216.9300618025328,597.4913983826387,0.428,0.9043760000000001,0.22677999999999998,1.7906680000000001,2.399206,0.2066,1.033272,0.633834,0.13650839999999997
63,0,31,102.08021834232477,614.5113054773882,0.56393,1.026146,0.24895,2.7191560000000004,2.001916,0.24392000000000003,0.638802,1.018746,0.2121948
