n,generation,specimen,fitness
716,29,19,368.240503048024
717,29,20,453.8134336100792
718,29,21,342.1124618238057
719,29,22,281.3826062842611
720,29,23,237.38259358924796
721,30,0,307.28758721149444
722,30,1,332.83563646611555
723,30,2,377.96449936420265
724,30,3,326.8054982595383
725,30,4,362.5723505376035
726,30,5,339.68887080353437
727,30,6,321.535727828161
728,30,7,274.80367527818095
729,30,8,309.9892237777386
730,30,9,305.66035762493294
731,30,10,299.08259532627255
732,30,11,346.9993716356712
733,30,12,303.8929090140947
734,30,13,305.217433066995
735,30,14,283.8061445764407
736,30,15,286.45462091922354
737,30,16,259.14400852266823
738,30,17,341.78550025270914
739,30,18,354.7289641388666
740,30,19,282.6608216661402
741,30,20,265.7248075005082
742,30,21,286.92541714300773
743,30,22,319.42044832311785
744,30,23,309.26728530180384
745,31,0,340.47181540640236
746,31,1,373.9689335961193
747,31,2,311.314493885683
748,31,3,313.2225137156927
749,31,4,274.92880796691725
750,31,5,278.5863127400229
751,31,6,343.81602644728054
752,31,7,278.0051625988204
753,31,8,337.59895367223567
754,31,9,231.0429874717322
755,31,10,326.21162152699543
756,31,11,360.3003480536744
757,31,12,287.2442631205078
758,31,13,273.5504874322827
759,31,14,340.44500850146414
760,31,15,423.1642801983534
761,31,16,345.420172082671
762,31,17,270.2899934234691
763,31,18,261.4772869869529
764,31,19,395.58573908310905
765,31,20,353.43601075830577
766,31,21,308.9142101665074
767,31,22,348.04688619331245
768,31,23,389.03538367309943
769,32,0,237.84110542311385
770,32,1,306.672481192989
771,32,2,475.10243530141986
772,32,3,308.59571901958304
773,32,4,293.8749973788209
774,32,5,265.814879232935
775,32,6,338.89741309125793
776,32,7,295.4455933896642
777,32,8,271.4389253189397
778,32,9,257.9266033554766
779,32,10,345.5373441378732
780,32,11,371.0928531040323
781,32,12,318.51143533081836
782,32,13,263.0078989868666
783,32,14,269.19535367526794
784,32,15,377.08597507757105
785,32,16,304.98244383739836
786,32,17,258.92073940685157
787,32,18,289.1969146756951
788,32,19,309.4532289803221
789,32,20,264.06630145093385
790,32,21,468.4438846477921
791,32,22,360.1406928544661
792,32,23,290.7886880944309
793,33,0,286.33314836869135
794,33,1,434.2215212246394
795,33,2,357.4813196981442
796,33,3,327.660019502953
797,33,4,231.77293831487773
798,33,5,347.6326673693051
799,33,6,287.5502882619538
800,33,7,295.1568514604352
801,33,8,331.95374448254614
802,33,9,263.00281172434694
803,33,10,341.84852561849914
804,33,11,314.2016851538827
805,33,12,279.61384904794716
806,33,13,324.09749322837774
807,33,14,285.6530638476781
808,33,15,320.1823448745415
809,33,16,252.0751621281221
810,33,17,313.082841099287
811,33,18,252.6593777732293
812,33,19,267.7884635848527
813,33,20,292.59286250249176
814,33,21,324.9900885870046
815,33,22,273.32722554366524
816,33,23,297.6586248616474
817,34,0,321.9162845593125
818,34,1,317.5900940812593
819,34,2,283.0185979169141
820,34,3,278.93667458903303
821,34,4,293.3003428009872
822,34,5,298.36089016012
823,34,6,271.1138343371963
824,34,7,291.96410326831625
825,34,8,232.47792064947012
826,34,9,369.79087821109806
827,34,10,250.93187134029847
828,34,11,300.2294534745741
829,34,12,346.14644948092797
830,34,13,266.09334900655574
831,34,14,327.7793224964538
832,34,15,290.9752885658884
833,34,16,204.7734716001719
834,34,17,247.48119951207894
835,34,18,272.02783166439053
836,34,19,352.95398244080803
837,34,20,254.22703749300814
838,34,21,326.1505476853463
839,34,22,319.27807857952166
840,34,23,339.42274405873275
841,35,0,289.91155334634345
842,35,1,301.855708415515
843,35,2,287.8748757962654
844,35,3,263.4233338280941
845,35,4,305.6525184422348
846,35,5,286.2404404706363
847,35,6,309.7759284537211
848,35,7,286.9188131708133
849,35,8,298.5865735535404
850,35,9,262.116076380034
851,35,10,237.77471565083604
852,35,11,331.2188614351159
853,35,12,276.42339070397844
854,35,13,313.8756361873918
855,35,14,291.5467555273593
856,35,15,304.1052510321995
857,35,16,338.0721369011533
858,35,17,284.22098775260366
859,35,18,266.829250542428
860,35,19,327.9029864659011
861,35,20,305.58762154263354
862,35,21,335.34049197415976
863,35,22,405.09125213072815
864,35,23,340.81792883871685
865,36,0,361.4092443293166
866,36,1,363.8197030743453
867,36,2,293.83262775781157
868,36,3,243.91925651012522
869,36,4,348.55183285713963
870,36,5,360.32762704761785
871,36,6,352.20328470327854
872,36,7,273.9633295512949
873,36,8,312.23230391265906
874,36,9,327.615768270439
875,36,10,313.9362025273419
876,36,11,279.9942318810994
877,36,12,280.3844922365788
878,36,13,300.499472447566
879,36,14,270.911709360618
880,36,15,271.66531544764547
881,36,16,274.50924661374444
882,36,17,332.89371591707504
883,36,18,331.7984771537303
884,36,19,316.9821176638795
885,36,20,279.21914137210405
886,36,21,347.9123330047848
887,36,22,290.3435567064687
888,36,23,256.1992258783923
889,37,0,285.71575965031406
890,37,1,288.95165627949933
891,37,2,196.95250702146927
892,37,3,253.74267073647513
893,37,4,249.8494473298374
894,37,5,294.69886685713726
895,37,6,280.6479723908768
896,37,7,344.9501828633661
897,37,8,259.92555725168
898,37,9,294.9064119606262
899,37,10,291.5835113220633
900,37,11,314.1554581246317
901,37,12,312.0684721465702
902,37,13,300.8607143653222
903,37,14,297.4037483577383
904,37,15,291.6446052725934
905,37,16,315.9029513028899
906,37,17,279.80165418884974
907,37,18,283.4933955317742
908,37,19,318.2041929113486
909,37,20,304.828741877125
910,37,21,311.5570659527302
911,37,22,296.48162865295313
912,37,23,280.5916599126649
913,38,0,308.7415905120283
914,38,1,310.70020586698047
915,38,2,305.7897936259563
916,38,3,283.0725211527486
917,38,4,304.1062847461616
918,38,5,306.8990939199025
919,38,6,355.166638602431
920,38,7,321.60421880553395
921,38,8,262.4915193932512
922,38,9,267.5048987232948
923,38,10,280.3767190408543
924,38,11,252.5633166449762
925,38,12,271.5688092004563
926,38,13,298.1288721842014
927,38,14,259.31195305844807
928,38,15,289.6970314011453
929,38,16,286.9805951959655
930,38,17,248.4549057852771
931,38,18,305.4889954216272
932,38,19,286.5064415853012
933,38,20,352.41186791983137
934,38,21,320.4563834073922
935,38,22,335.7926338202275
936,38,23,342.4888775346433
937,39,0,296.00588352167097
938,39,1,343.71363498982146
939,39,2,271.16523243819273
940,39,3,363.96761100429353
941,39,4,311.70796718666463
942,39,5,275.1615484784738
943,39,6,244.00066449227694
944,39,7,275.0624758015091
945,39,8,268.5469487182532
946,39,9,304.8591098329414
947,39,10,296.58219243337584
948,39,11,284.61872603128
949,39,12,326.05897833658554
950,39,13,306.13254552808206
951,39,14,272.9621245493082
952,39,15,307.23655749209684
953,39,16,222.1574091085316
954,39,17,283.39080485042206
955,39,18,350.70054364564237
956,39,19,340.28302006818836
957,39,20,312.0201897767381
958,39,21,283.3599837384256
959,39,22,291.3066177993526
960,39,23,266.3869383535192
961,40,0,290.7095458439531
962,40,1,281.09500928806386
963,40,2,351.0279197906997
964,40,3,260.4843957116177
965,40,4,281.73267923424874
966,40,5,303.73470841018127
967,40,6,277.15692077213794
968,40,7,319.3152932466813
969,40,8,301.6655492717796
970,40,9,290.2240541280345
971,40,10,320.12391874402743
972,40,11,289.6336728935592
973,40,12,293.1190920100561
974,40,13,266.7965279537686
975,40,14,306.92140129237356
976,40,15,293.8894212577006
977,40,16,276.71280213386905
978,40,17,286.21391858077993
979,40,18,244.61998655371195
980,40,19,291.5991923163047
981,40,20,294.4703008114626
982,40,21,318.9096795142103
983,40,22,273.1354672137277
984,40,23,290.92053308431053
985,41,0,294.5233342363668
986,41,1,305.6124880237991
987,41,2,278.6617663106853
988,41,3,339.6684816987164
989,41,4,334.6145723705266
990,41,5,280.29006953302206
991,41,6,296.05587231676043
992,41,7,293.53768326173054
993,41,8,309.19934749976056
994,41,9,212.1572963391264
995,41,10,295.4803813428216
996,41,11,283.7984362759834
997,41,12,290.6127899154965
998,41,13,279.41203269159683
