n,generation,specimen,fitness,distance
1,0,0,200.8567921094473,652.1715712417296
2,0,1,215.4303618718883,631.9703152575406
3,0,2,222.71103070333325,633.6963648859887
4,0,3,226.35036454216214,631.698204596194
5,0,4,215.0594755948299,605.7174723488645
6,0,5,198.53143009485757,631.058908333277
7,0,6,211.13798432387645,601.8603505242185
8,0,7,216.03000449641743,602.6110889190934
9,0,8,206.41442013198326,609.3820140139715
10,0,9,200.3721932195895,633.8843458794896
11,0,10,194.9988645539487,603.7640142108387
12,0,11,213.96152350848683,602.7903720382808
13,0,12,191.77919246436662,631.2621901567037
14,0,13,198.6362031617611,612.3374864104143
15,0,14,204.7685102067911,628.1238855712564
16,0,15,205.46517794964055,615.9724330359969
17,0,16,197.06523197698408,611.89065418463
18,0,17,209.0644872966548,601.6666086018142
19,0,18,172.40618094887455,614.4899267089859
20,0,19,219.32621888937922,614.5999835334842
21,0,20,197.34392696967473,623.5256973509435
22,0,21,212.32927322483584,631.6288132091979
23,0,22,215.5089023415766,612.7587193283234
24,0,23,209.40000458228917,674.6113767890176
25,1,0,217.8953442932807,651.6258187526765
26,1,1,188.69375190447812,652.4691217679564
27,1,2,201.98186990456335,650.9792366829265
28,1,3,164.4992845932491,629.5710821944581
29,1,4,215.46400561784114,657.5443274497846
30,1,5,208.94841112808223,579.6283276260866
31,1,6,227.46221442868796,631.1887807247858
32,1,7,159.67301422663326,616.3775637049262
33,1,8,221.63808286717634,613.746032643083
34,1,9,223.03186661461396,612.5577433261003
35,1,10,215.09553704479112,633.5546382228379
36,1,11,174.33880947723168,585.228842109006
37,1,12,171.01037952600169,610.3701814411922
38,1,13,233.22100465274374,612.3232344459909
39,1,14,207.61230707132137,630.5351209649834
40,1,15,208.10241860141397,589.8724681547627
41,1,16,209.91997356241146,619.2468121447425
42,1,17,94.77174585709017,613.7689236299881
43,1,18,303.9315305737474,618.6182907940444
44,1,19,211.8580607217918,612.0636831379124
45,1,20,207.11414187269958,621.7460053177467
46,1,21,166.74637498635855,622.3268663411656
47,1,22,224.42255754621863,617.6279647691832
48,1,23,223.7084270937242,606.5834864169905
49,2,0,195.85177046990688,654.9318801004257
50,2,1,204.0630052262976,652.9626691496336
51,2,2,200.32513713599508,648.0698730788495
52,2,3,188.19368826651072,654.4176158891007
53,2,4,241.385564460869,648.5271251233803
54,2,5,160.34915778769385,649.4435325785364
55,2,6,176.91974444450432,624.5873135703694
56,2,7,224.31882759433267,611.3349652040866
57,2,8,169.4093749993218,582.7478683105813
58,2,9,159.2998100217742,606.9394173694186
59,2,10,202.88033139085428,634.175055248066
60,2,11,194.21076983498045,632.9386398320048
61,2,12,219.37896685387926,636.2644893357232
62,2,13,227.350130158254,602.9185444864642
63,2,14,123.9935969229912,613.8000732914576
64,2,15,209.8231613761092,610.3795046137785
65,2,16,84.19413997917782,581.8145881149493
66,2,17,249.1321410348024,604.5987688882868
67,2,18,215.1136519389456,616.551008233579
68,2,19,207.72819687019845,615.197493844166
69,2,20,240.01240862056179,619.6657014829689
70,2,21,200.13472257156008,621.2356132166237
71,2,22,217.6705052625018,624.3898637073256
72,2,23,220.94074862915826,622.1724815723177
73,3,0,192.01347562487584,666.3066019520464
74,3,1,220.06819603608415,662.59651891707
75,3,2,200.37335365629104,645.097579508849
76,3,3,230.0812015448181,637.4421926845362
77,3,4,236.1582431114308,618.0661764907433
78,3,5,191.67959926913687,602.4012367737627
79,3,6,210.08507470609203,629.064809943449
80,3,7,162.45184868695068,640.6530355794582
81,3,8,209.05260379529,640.6267404804327
82,3,9,215.83417800266653,637.2399285577518
83,3,10,201.48935300922247,617.8747813533809
84,3,11,208.65373405429006,605.398461180648
85,3,12,221.10456960557576,636.7802287760536
86,3,13,209.61983908161818,617.7137908898007
87,3,14,228.56900439284547,613.2812237334828
88,3,15,216.22685410050445,613.2765349891187
89,3,16,161.98141612387343,624.5251522381888
90,3,17,160.4124804244723,599.0775438048464
91,3,18,163.65982998509014,644.3053499236839
92,3,19,222.61810893508516,614.4591255214901
93,3,20,187.04259466241461,627.9504833086114
94,3,21,200.56790070027537,616.473149841115
95,3,22,196.23410555102117,621.3041273152141
96,3,23,183.96374659879808,621.0849113701536
97,4,0,204.2566006203196,668.6386195414888
98,4,1,205.6492185582773,638.0193533990047
99,4,2,188.83584686985103,629.8942156154461
100,4,3,223.15568205997636,631.6357122697451
101,4,4,207.35321291089352,610.6665033681078
102,4,5,219.8389421301938,627.3793406330283
103,4,6,209.6440314021535,616.1547859159979
104,4,7,216.4860651473287,635.9076133268965
105,4,8,207.96053826707197,657.3027218515699
106,4,9,218.1157168671939,600.6876405621967
107,4,10,155.91529558218045,643.7048077290872
108,4,11,172.79713527805785,647.7569697186162
109,4,12,191.6402808854576,635.2159686564667
110,4,13,199.50373726280765,605.3869047466686
111,4,14,221.29182527187774,616.2599091434267
112,4,15,198.6725940226042,622.9357419791065
113,4,16,211.93814014533046,594.00618609381
114,4,17,204.28971900163336,629.9109748522518
115,4,18,169.87671892209553,598.940293499396
116,4,19,202.02933260542838,587.1903321635133
117,4,20,234.1869600391501,617.0232649213934
118,4,21,211.4188232310414,623.8740708574495
119,4,22,212.97768236057084,622.8179769459107
120,4,23,217.11170301413316,613.8277061382695
121,5,0,224.6545041024304,607.92563812698
122,5,1,187.68560376035913,654.7144501194389
123,5,2,181.67628643722279,643.0660251621922
124,5,3,203.63015448495545,631.2804306646067
125,5,4,232.4708025008438,628.8769789092044
126,5,5,155.66907407968068,634.2207845995321
127,5,6,192.09912133589938,660.8802197456669
128,5,7,217.56319123811497,633.7052967839628
129,5,8,186.2711485325539,656.5030117226523
130,5,9,206.3834321194549,628.0943819297181
131,5,10,163.29684796102055,639.7108184611351
132,5,11,216.29757466296496,620.1379755973924
133,5,12,228.98726922652054,618.8996172452124
134,5,13,183.6326268455518,634.3191439338227
135,5,14,206.72369576466295,607.7741710164534
136,5,15,226.36596660193572,590.1241204556583
137,5,16,209.69180056571375,618.094993849039
138,5,17,213.03171836994915,617.0446395907609
139,5,18,240.798235460634,617.9812938264404
140,5,19,172.01072232797506,612.148465245956
141,5,20,248.34693990722292,609.1549375259746
142,5,21,213.50313398496712,609.2838425448427
143,5,22,196.4851922440131,618.4009623726976
144,5,23,205.77511882021975,611.2186861564799
145,6,0,232.3779977353535,644.7176894738219
146,6,1,201.7894232758391,642.188906950988
147,6,2,208.6475740014021,612.7729262915959
148,6,3,198.79392505664364,640.2645887385277
149,6,4,213.26490181510047,643.4236741681797
150,6,5,168.47566764269453,626.7735847038484
151,6,6,170.5241925350543,622.2949569981186
