n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,0,0,201.9037841752848,617.7408166979583,1.0107751999999999,0.9189840000000001,0.136662,3.44512,3.557504,0.34002,0.406176,0.32787200000000005,0.319788
3,0,1,246.075552261056,712.013664803046,0.7368824,0.9839280000000001,0.12016199999999999,3.67232,2.5675520000000005,0.33315599999999995,0.38281600000000005,0.32864000000000004,0.281112
5,0,2,354.7282594591553,669.263945133728,1.0035167999999999,1.1323840000000003,0.15126599999999998,3.247104,2.8885760000000005,0.31714800000000004,0.412512,0.34448000000000006,0.274344
7,0,3,334.11591429809016,663.2158402696675,0.8642312,1.058948,0.13881,3.0629120000000003,3.8146560000000003,0.28826399999999996,0.36892800000000003,0.36910400000000004,0.33800399999999997
9,0,4,366.3812495308465,732.1511125393494,0.7359192,1.252064,0.150066,3.589376,3.3573120000000003,0.32847600000000005,0.390736,0.398704,0.285408
11,0,5,229.33723463506166,611.9489240454085,0.9816728,1.108712,0.145944,3.6243200000000004,3.1193600000000004,0.31695599999999996,0.37641600000000003,0.417456,0.34776
13,0,6,137.9440914012565,611.2970587963673,1.0304864,0.9624120000000002,0.16117199999999998,3.7337599999999997,3.455488,0.327372,0.35688000000000003,0.33480000000000004,0.32500799999999996
15,0,7,229.11341386179024,646.7025677718005,0.9056488,0.8947840000000001,0.15903,2.6682880000000004,2.7813120000000002,0.255756,0.41371199999999997,0.4179840000000001,0.28674
17,0,8,342.3043840286722,623.5613712807749,1.0176208,0.9039800000000001,0.17288399999999995,2.990976,3.2555520000000002,0.244368,0.38468800000000003,0.38,0.253044
19,0,9,413.32172505270853,643.1601199198238,0.9221951999999999,1.200144,0.16306800000000002,3.3008640000000002,3.018752,0.30483599999999994,0.36241600000000007,0.364064,0.26878799999999997
21,0,10,330.3808229253035,635.1523553484046,1.0296607999999998,1.10264,0.17805600000000002,2.991104,3.5505920000000004,0.24014400000000002,0.419616,0.457376,0.3371279999999999
23,0,11,292.3907067755157,734.9264393251106,0.9473416000000001,0.9149800000000001,0.12342,2.743552,2.6083840000000005,0.32960399999999995,0.425616,0.32155200000000006,0.274824
25,0,12,331.4346329241547,712.0411538741788,0.8021048,0.9016480000000001,0.15991199999999997,2.6567680000000005,3.494528,0.24336,0.38857600000000003,0.47105600000000003,0.28637999999999997
27,0,13,389.28282093106156,676.2079161755487,1.0213016,1.2515360000000002,0.159714,3.64032,3.165312,0.336372,0.449872,0.449552,0.30925199999999997
29,0,14,244.17677219440301,707.3256917829191,0.8421464,0.9097000000000002,0.12425399999999999,3.7026560000000006,3.1445760000000003,0.33427199999999996,0.47195200000000004,0.357648,0.29503199999999996
31,0,15,281.0787895876025,681.0202525735812,0.927596,1.1134640000000002,0.14809799999999998,3.356032,3.663872,0.258336,0.36593600000000004,0.411712,0.345948
33,0,16,404.2706532471169,666.9769536189626,1.0149032,0.8808360000000001,0.16962,2.991104,3.8026240000000002,0.32058,0.42144,0.45038400000000006,0.33355199999999996
35,0,17,251.06380640413872,661.8007732758322,0.7128711999999999,0.9951920000000001,0.13347,2.924288,3.001728,0.27505199999999996,0.37688000000000005,0.35806400000000005,0.329856
37,0,18,378.39847553503944,681.1194328532218,0.9550816,1.242032,0.179046,2.8608000000000002,3.224704,0.258,0.43254400000000004,0.444224,0.24148799999999998
39,0,19,374.19700586639226,622.1556668842752,0.8570416,1.1874280000000002,0.155136,3.039104,3.390848,0.26672399999999996,0.45383999999999997,0.47774399999999995,0.26323199999999997
41,0,20,273.7479999701842,656.2980400856193,0.7372608,0.9922440000000001,0.15862199999999999,3.741184,2.9792000000000005,0.304884,0.34358400000000006,0.41793600000000003,0.346296
43,0,21,343.83124706255046,599.8021393401154,0.8391879999999999,1.1452760000000002,0.127422,3.61408,3.045504,0.3098159999999999,0.39084800000000003,0.418288,0.252132
45,0,22,325.2899672473035,683.9007543615413,0.8919232,1.299276,0.172656,2.8677120000000005,3.1287040000000004,0.30915600000000004,0.39380800000000005,0.392608,0.34327199999999997
47,0,23,293.00998061460643,668.3467081714113,0.9232959999999999,1.007776,0.148908,3.216384,2.648064,0.328428,0.44667199999999996,0.478672,0.32395199999999996
49,0,24,306.2577576161781,696.4441843636922,0.8023456,1.220692,0.17681999999999998,2.839424,3.64672,0.305988,0.476352,0.4276,0.307728
51,0,25,309.81970323817916,616.0150103861257,0.8802960000000001,1.21022,0.168834,2.9381120000000003,3.8126080000000004,0.332028,0.44931199999999993,0.456672,0.341568
53,0,26,402.70887565268015,684.5564924709353,0.6947768,1.298308,0.17612999999999998,3.6869119999999995,3.372544,0.34333199999999997,0.37795200000000007,0.445248,0.35158799999999996
55,0,27,286.5958113977018,676.3449268064048,0.9405992,1.1328240000000003,0.15340800000000002,3.11552,3.254016,0.279732,0.38096,0.4416800000000001,0.261612
57,0,28,314.2971000504732,664.5614170092515,0.8827384,1.0441200000000002,0.14926799999999998,2.7270400000000006,3.7529600000000003,0.34483199999999997,0.47110399999999997,0.458016,0.34226399999999996
59,0,29,296.06134165848664,661.627557905535,0.807196,1.175152,0.140496,3.6200959999999998,2.977024,0.275088,0.44219200000000003,0.35299200000000003,0.30748800000000004
61,0,30,360.4391894800866,662.1967074572073,0.77744,0.9695840000000001,0.140712,2.8030720000000002,3.7605120000000003,0.3066,0.439488,0.32113600000000003,0.251676
63,0,31,234.70428639172096,615.955628040843,0.9333064,1.050764,0.14958,3.703424,3.314432,0.34391999999999995,0.322608,0.435184,0.335772
65,0,32,370.78484461488154,666.4576312348736,0.9941255999999998,1.011824,0.13775400000000002,3.0429440000000003,2.920064,0.356016,0.4350400000000001,0.33752000000000004,0.27511199999999997
67,0,33,289.4196036452073,700.6431343425529,0.9104304,1.1036960000000002,0.12804,2.8275200000000003,3.543552,0.280512,0.408672,0.414976,0.349284
69,0,34,297.9136907039293,687.891421406376,0.9441079999999998,1.309264,0.17507399999999998,3.637504,3.441536,0.352944,0.373568,0.354752,0.259908
71,0,35,284.9485766545582,662.6124068960471,0.7571096,0.9827840000000001,0.15125999999999998,3.371776,3.531136,0.33847199999999994,0.468816,0.443408,0.3284639999999999
73,1,0,407.96307718455876,685.8418180175793,1.011484230784,0.9450500875200003,0.17723762495999998,4.1559735808,3.455488,0.32750294879999997,0.41983363200000007,0.269152416,0.327372
75,1,1,227.9359720123708,670.2218047345034,1.191178357696,0.9573240124800001,0.12507852888,4.0830184192,3.3261239398400004,0.32308700399999996,0.35480285952,0.3228752307200001,0.35053881408000004
77,1,2,328.21298494187056,696.1976192877197,1.18011302528,1.1360696212800003,0.1696818816,3.0642221568,3.455488,0.32759461296,0.999,0.36162417600000013,0.2724217056
79,1,3,332.05045023204264,755.2918476069757,0.9244699591680001,0.9624120000000002,0.18909343728,3.7337599999999997,3.02244624384,0.37349216736,0.35435328960000007,0.29923084800000005,0.31244969087999996
81,1,4,363.5832724627536,687.9476966205555,1.0309135076480003,1.32584215808,0.16550633375999999,4.260315673600001,3.1065082368000008,0.34567221359999994,0.30736624896000003,0.4501010592,0.3256007328
83,1,5,229.40471069680925,664.3329688767792,0.6260149729919999,0.846908392,0.13347,2.96862020608,3.001728,0.2861090904,0.3608550624000001,0.37452062144000003,0.2832143616
85,1,6,423.40222507869873,659.4921848610423,1.00098566864,1.1519460691200003,0.12827363328000002,3.3788437504000006,3.2057264025600003,0.25602191568,0.33526003840000007,0.5224367712000001,0.23563916064
87,1,7,383.1273296060921,671.3729951061182,0.931206976256,0.9854449228800003,0.13424581584,3.077870208,4.187182208,0.3464667792,0.36438861312000004,0.3036619315200001,0.37050637680000004
89,1,8,338.49446496229086,665.9829947984853,0.5897362101120001,1.46546578816,0.16059463056,4.183345940480001,2.9124010137600003,0.3549248875200001,0.44012503040000006,0.4509182758400001,0.32328734976000006
91,1,9,282.70154655166436,606.102960864627,1.001797658624,0.9114426604800002,0.15838694784,3.5295980031999994,4.04305917952,0.35235703104000005,0.3988490880000001,0.999,0.2875020768
