iteration,fitness,ialpha,ibeta,ievapor,falpha,fbeta,fevapor
1,583.5403922577905,1.2212429767999997,5.150399999999999,0.9541581294739999,1.3571486759999998,1.37585746924,0.6066991992
2,702.4083530002744,2,6.445336127999999,0.85,1.4994563667286398,0.01,0.686181663088272
3,629.7982585731941,1.1266975046388479,4.906477056,0.9595395,1.2025731882750408,0.010960600000000001,0.5
4,530.1962867468915,1.1967994353285276,3.2952,0.9664615545599999,1,0.0106318,0.5
5,592.5786004293103,0.9622150556064494,5.25,0.89449522302,1,0.01,0.5
6,499.24050084861983,0.9811300010683679,3.3475277759999997,0.85,1,0.01,0.6190138763092583
7,606.480317688361,1.93048,3.2905190098284,0.85,1.1403901361094904,0.01,0.5
8,532.4495449511115,0.8060562473590567,3.2952228000000003,0.85,1,0.01,0.5
9,656.1665580220093,1.0816612961352299,4.846213267260407,0.9305351010293937,1.020469632,0.01,0.53387
10,597.5121120399989,1.0133368238828222,5.269439309227352,0.8849842470458569,1,0.01,0.54391
11,570.0461418130816,1.0456929616468864,7.704603787894723,0.85,1.1566208061849756,0.01,0.5
12,524.3618306450111,1.1069022569252789,3.3475277759999997,0.85,1,0.010654519359999998,0.5459330397999999
13,722.6004623710968,0.8874847742593833,4.5531188887275,0.85,1,0.01,0.5547182136733239
14,567.1974955969388,1.0494093510186293,8.110020039213742,0.85,1,0.01047631441590961,0.5
15,584.95527224336,0.9746975983928947,4.118389953385295,0.926109,1.2977986629729799,0.01,0.5
16,610.182070244171,1.0155099297360928,3.9872288714417636,0.9465654719599997,1.0642284642067998,0.01,0.582504855165989
17,612.0002668111829,0.8710481624144205,4.583943809106478,0.8714619803377801,1.0164497540000001,0.01,0.50542
18,569.5812625372475,0.8579956606829445,4.809668668063944,0.85,1,0.01,0.5
19,610.321693336364,1.2979244809838575,5.250742073982751,0.85,1,0.01,0.5
20,599.9066347660703,0.8362777269637207,3.8529954805079383,0.8870429999999999,1,0.01,0.6032269971464237
,1.037377728379687,0.011718202612,0.5772920480235095
20,553.8156560507016,0.8481391467064017,3.2805,0.85,1.0928799999999999,0.01,0.5719844304
