iteration,fitness,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,105.90293479469938,0.5493541183999999,0.9048775868,0.3068958646,3.5003199616,1.6017427758399994,0.22737200000000002,0.6838968762000001,0.823229064,0.21959070739199998
2,147.34965286268687,0.4706162762520319,0.8198172269724798,0.14631750699999999,2.539734218948713,2.9078022865517417,0.23438577185408,0.999,0.5951988436096799,0.1477961011253145
3,145.01223489977212,0.5599026908717916,1.2830047056527323,0.19851930801577594,2.3268524833100805,0.7709244664908977,0.21520860208856227,0.854424138582,0.9505294344062375,0.154086757709695
4,94.35043071422706,0.7450183662447869,0.9730386645507635,0.21918437387773088,3.397801648826927,2.3786197876240656,0.1371276528128,0.8300291399999999,0.8474035161165315,0.22258484496405972
5,125.37230151401036,0.8902663488307103,0.7732449748839074,0.21729691640854165,3.079786883615922,1.4632628134583001,0.19459216410093372,0.7533658799999999,0.9880037144928,0.19860940759980814
6,163.28179515627016,0.6032771366496719,0.4840619455043585,0.2364006758147987,1.8768479380857923,2.1487747618667115,0.2744064642789213,0.89752158,0.999,0.19566829779719477
7,61.17749128169021,1.0296302166825941,0.7707274732741666,0.32617550253576355,2.449133999302034,4.209086216911048,0.11272416938232503,0.999,0.999,0.14094976015179958
8,113.83235252435907,0.7137782432689048,1.3687720249989814,0.33515900900235823,3.3816724245305685,1.631695723381408,0.16727170586793655,0.8056335600000001,0.4999457797319962,0.19142235056317383
9,91.33369259172628,0.8523412021402802,1.5151211299118723,0.4395118591856902,4.430732498755611,2.0608806095057064,0.16284025100541138,0.999,0.6320523545701157,0.0975089298272326
10,88.54106111861552,0.8329967969638601,0.5701245246424123,0.16118518234017304,3.5455245502504966,4.015762494634745,0.2463504817443402,0.9577753071588001,0.8635356000000001,0.10524986149019457
11,139.09877863472434,1.1496975836021206,0.33206046147761265,0.2605827504693707,3.936647234124598,2.0646892136540873,0.2215842065355081,0.8254137599999999,0.999,0.19510374544848147
12,144.29274622056812,0.6086208132724061,0.7547467241007758,0.5088549257500049,4.224713612695478,2.1121155473182855,0.2481476755923208,0.73400526,0.999,0.10240870014455485
